Feature,Dtype,Meaning and Role in Project
mal_id,Numerical (ID),The unique identification code for the manga on MyAnimeList. Used as the Primary Key and reference point.
url,Text (String),The URL to the MAL page.
score,Numerical (Continuous),The average score given to the manga. The Target Variable for Regression models (predicting score) and Classification models (predicting High-Score/Low-Score).
scored,Numerical (Continuous),The scored value (often the same as score).
scored_by,Numerical (Discrete),The number of users who rated the manga. Used to assess the credibility of the score.
rank,Numerical (Ordinal),The manga's ranking based on its score. Supplementary feature or an alternative target variable.
popularity,Numerical (Ordinal),The popularity rank (based on members). Feature for regression modeling.
members,Numerical (Discrete),The total number of users who have added the title to their list. Popularity indicator. A crucial feature for the model.
favorites,Numerical (Discrete),The number of users who have marked the title as a favorite. Indicator of Subjective Quality or engagement.
synopsis,Text (Unstructured),The plot summary of the manga. Core feature for Content-Based Filtering (requires TF-IDF or Embedding Vectorization).
genres,Categorical (Multi-label),The list of genres (nested/List of Dictionaries). Core feature for Content-Based Filtering (requires flattening and One-Hot Encoding).
explicit_genres,Categorical (Multi-label),Adult/explicit genre tags. Categorical feature.
themes,Categorical (Multi-label),"Secondary themes (e.g., School, Harem). More detailed categorical feature."
demographics,Categorical (Multi-label),"Target audience (e.g., Shounen, Shoujo). Important categorical feature.a"
type,Categorical (Nominal),"Publication type (Manga, One-shot, Doujinshi, etc.). Categorical feature."
chapters,Numerical (Discrete),Total number of chapters. Length feature.
volumes,Numerical (Discrete),Total number of volumes. Length feature.
status,Categorical (Nominal),"Publishing status (Publishing, Finished, etc.). Feature used to create the is_ongoing boolean flag."
authors,Categorical (Multi-label),List of authors (nested). Content feature (author/studio influence).
serializations,Categorical (Nominal),Magazine/publication source. Categorical feature (influences style/audience).
"titles, title_english, title_japanese, title_synonyms",Text (String),Title variations. Used for searching and lookup only.
"images, published, background",Text (URL/Path),Detailed information not typically needed for initial modeling.
"approved, publishing",Categorical (Binary),Boolean status flags. Simple categorical/binary features.
